"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"62","PP Chawla",87,52,21,401,0,12.93,355,112.95,0,0,7,36,12,0.230769230769231,0.692307692307692,0.923076923076923,7.71153846153846,17.9551122194514,35.9102244389027,53.8653366583541,6.82692307692308,0.403846153846154
"63","Q de Kock",23,23,1,720,108,32.72,534,134.83,1,5,0,89,21,0.91304347826087,3.8695652173913,4.78260869565217,31.304347826087,17.5,49.4444444444444,66.9444444444444,23.2173913043478,0.0434782608695652
"64","R Ashwin",121,40,16,288,46,12,263,109.5,0,0,3,27,6,0.15,0.675,0.825,7.2,12.5,37.5,50,6.575,0.4
"65","R Bhatia",54,27,12,240,0,16,219,109.58,0,0,0,19,6,0.222222222222222,0.703703703703704,0.925925925925926,8.88888888888889,15,31.6666666666667,46.6666666666667,8.11111111111111,0.444444444444444
"66","R Dravid",104,96,7,2456,66,55.32,2162,228.54,0,12,5,298,31,0.660130718954248,6.15947712418301,6.81960784313726,51.116339869281,15.5856009735997,96.2305039872749,111.816104960875,44.8653594771242,0.150326797385621
"67","R Vinay Kumar",70,31,11,252,0,12.6,218,115.59,0,0,2,16,8,0.258064516129032,0.516129032258065,0.774193548387097,8.12903225806452,19.047619047619,25.3968253968254,44.4444444444444,7.03225806451613,0.354838709677419
"68","RA Jadeja",111,82,25,1256,90,45.05,991,249.32,0,0,6,89,44,1.07878787878788,2.40454545454545,3.48333333333333,33.3121212121212,39.988738104623,57.3703474294724,97.3590855340954,27.1393939393939,0.531818181818182
"69","RG Sharma",153,149,24,4196,0,65.49,3195,262.09,1,30,8,347,179,2.35141409877585,4.59603208104686,6.94744617982271,55.4029126213592,50.9003260711118,66.3891034436008,117.289429514713,42.2678345293373,0.305192064162094
"70","RN ten Doeschate",41,29,9,485,0,24.25,357,135.85,0,2,4,35,22,0.758620689655172,1.20689655172414,1.96551724137931,16.7241379310345,27.2164948453608,28.8659793814433,56.0824742268041,12.3103448275862,0.310344827586207
"71","RP Singh",44,22,10,51,10,4.25,69,73.91,0,0,2,2,1,0.0454545454545455,0.0909090909090909,0.136363636363636,2.31818181818182,11.7647058823529,15.6862745098039,27.4509803921569,3.13636363636364,0.454545454545455
"72","RV Uthappa",89,85,8,2334,0,58.16,1711,274.62,0,15,4,248,72,1.73469387755102,5.49603174603175,7.23072562358277,52.8356009070295,43.8627141176716,79.8651084770065,123.727822594678,38.6473922902494,0.200113378684807
"73","S Badrinath",114,82,23,1667,0,28.25,1455,114.57,0,12,6,168,32,0.390243902439024,2.04878048780488,2.4390243902439,20.3292682926829,11.5176964607079,40.3119376124775,51.8296340731854,17.7439024390244,0.280487804878049
"74","S Dhawan",29,29,3,969,0,37.26,749,129.37,0,7,0,105,25,0.862068965517241,3.62068965517241,4.48275862068965,33.4137931034483,15.4798761609907,43.343653250774,58.8235294117647,25.8275862068966,0.103448275862069
"75","SA Asnodkar",21,21,0,464,60,22.09,379,122.42,0,2,3,59,11,0.523809523809524,2.80952380952381,3.33333333333333,22.0952380952381,14.2241379310345,50.8620689655172,65.0862068965517,18.047619047619,0
"76","SA Yadav",50,38,15,579,60,25.17,416,139.18,0,1,2,49,24,0.631578947368421,1.28947368421053,1.92105263157895,15.2368421052632,24.8704663212435,33.8514680483592,58.7219343696028,10.9473684210526,0.394736842105263
"77","SC Ganguly",40,38,2,1031,91,28.63,933,110.5,0,7,3,104,36,0.947368421052632,2.73684210526316,3.68421052631579,27.1315789473684,20.9505334626576,40.349175557711,61.2997090203686,24.5526315789474,0.0526315789473684
"78","SE Marsh",62,61,7,2213,115,40.98,1672,132.35,1,18,1,230,73,1.19672131147541,3.77049180327869,4.9672131147541,36.2786885245902,19.7921373700859,41.5725259828287,61.3646633529146,27.4098360655738,0.114754098360656
"79","Shakib Al Hasan",48,35,8,542,0,20.07,430,126.04,0,2,2,46,17,0.485714285714286,1.31428571428571,1.8,15.4857142857143,18.8191881918819,33.9483394833948,52.7675276752768,12.2857142857143,0.228571428571429
"80","SK Raina",156,152,22,4541,0,34.93,3202,141.81,2,30,7,390,189,1.24342105263158,2.56578947368421,3.80921052631579,29.875,24.9724730235631,34.3536665932614,59.3261396168245,21.0657894736842,0.144736842105263
"81","SK Warne",56,29,9,198,0,9.9,214,92.52,0,0,7,14,6,0.206896551724138,0.482758620689655,0.689655172413793,6.82758620689655,18.1818181818182,28.2828282828283,46.4646464646465,7.37931034482759,0.310344827586207
"82","SL Malinga",115,31,11,171,0,8.55,146,117.12,0,0,6,13,11,0.354838709677419,0.419354838709677,0.774193548387097,5.51612903225806,38.5964912280702,30.4093567251462,69.0058479532164,4.70967741935484,0.354838709677419
"83","SR Tendulkar",91,91,11,2599,0,32.48,2191,118.62,1,14,5,329,33,0.362637362637363,3.61538461538462,3.97802197802198,28.5604395604396,7.61831473643709,50.6348595613698,58.2531742978069,24.0769230769231,0.120879120879121
"84","SR Watson",84,81,12,2474,0,35.85,1765,140.16,2,14,2,245,114,1.40740740740741,3.02469135802469,4.4320987654321,30.5432098765432,27.6475343573161,39.6119644300728,67.2594987873888,21.7901234567901,0.148148148148148
"85","SS Tiwary",72,59,14,1118,113,50.65,941,241.97,0,4,3,66,47,1.68236714975845,2.39855072463768,4.08091787439614,39.5338164251208,50.5420991926182,47.4279123414072,97.9700115340254,32.4033816425121,0.451690821256039
"86","ST Jayasuriya",30,30,2,768,0,27.42,532,144.36,1,4,2,84,39,1.3,2.8,4.1,25.6,30.46875,43.75,74.21875,17.7333333333333,0.0666666666666667
"87","STR Binny",63,49,17,698,0,21.81,533,130.95,0,0,5,55,25,0.510204081632653,1.12244897959184,1.63265306122449,14.2448979591837,21.4899713467049,31.5186246418338,53.0085959885387,10.8775510204082,0.346938775510204
"88","SV Samson",44,40,4,941,76,26.13,765,123,0,7,2,82,35,0.875,2.05,2.925,23.525,22.3166843783209,34.8565356004251,57.173219978746,19.125,0.1
"89","TL Suman",28,28,8,559,0,27.95,463,120.73,0,2,2,43,20,0.714285714285714,1.53571428571429,2.25,19.9642857142857,21.4669051878354,30.7692307692308,52.2361359570662,16.5357142857143,0.285714285714286
"90","TM Dilshan",61,59,7,1348,0,51.84,1189,226.75,0,10,6,165,27,0.91264367816092,5.61379310344828,6.5264367816092,45.7758620689655,24.6138488670016,96.9513858849366,121.565234751938,40.3770114942529,0.236781609195402
"91","V Kohli",154,145,26,4534,113,38.1,3433,132.07,4,28,6,404,162,1.11724137931034,2.78620689655172,3.90344827586207,31.2689655172414,21.4380238200265,35.6418173797971,57.0798411998236,23.6758620689655,0.179310344827586
"92","V Sehwag",116,115,5,3042,241,51.77,1997,292.24,2,19,10,371,112,1.81372549019608,6.06862745098039,7.88235294117647,50.0235294117647,43.327226929242,96.9132127318525,140.240439661095,34.1274509803922,0.0588235294117647
"93","WP Saha",81,67,18,1254,0,52.24,938,271.76,1,5,1,108,42,1.19767441860465,2.95348837209302,4.15116279069767,34.6492248062016,42.9895257083485,67.3612086153155,110.350734323664,25.7354651162791,0.657945736434108
"94","Y Nagar",27,21,6,295,0,19.66,277,106.49,0,0,2,20,9,0.428571428571429,0.952380952380952,1.38095238095238,14.047619047619,18.3050847457627,27.1186440677966,45.4237288135593,13.1904761904762,0.285714285714286
"95","Y Venugopal Rao",60,51,8,966,60,45.92,804,240.39,0,3,2,72,41,1.62380952380952,2.94285714285714,4.56666666666667,38.8857142857143,50.7877664504171,59.7878694264236,110.575635876841,32.6,0.30952380952381
"96","YK Pathan",150,134,36,2929,172,58.56,2028,298.14,1,12,8,238,148,2.398033126294,3.73861283643892,6.13664596273292,44.9192546583851,63.4176302590173,66.2866961855461,129.704326444563,30.1568322981366,0.443064182194617
"97","Yuvraj Singh",43,42,5,894,0,24.16,677,132.05,0,3,0,69,49,1.16666666666667,1.64285714285714,2.80952380952381,21.2857142857143,32.8859060402685,30.8724832214765,63.758389261745,16.1190476190476,0.119047619047619
