"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"272","Warriors","Super Kings","Warriors","7 wickets","Pune","Apr 14, 2012","T20"
"273","KKR","Kings XI","Kings XI","2 runs","Kolkata","Apr 15, 2012","T20"
"274","RCB","Royals","Royals","59 runs","Bangalore","Apr 15, 2012","T20"
"275","Mum Indians","Daredevils","Daredevils","7 wickets","Mumbai","Apr 16, 2012","T20"
"276","Royals","Chargers","Royals","5 wickets","Jaipur","Apr 17, 2012","T20"
"277","RCB","Warriors","RCB","6 wickets","Bangalore","Apr 17, 2012","T20"
"278","Kings XI","KKR","KKR","8 wickets","Mohali","Apr 18, 2012","T20"
"279","Daredevils","Chargers","Daredevils","5 wickets","Delhi","Apr 19, 2012","T20"
"280","Super Kings","Warriors","Super Kings","13 runs","Chennai","Apr 19, 2012","T20"
"281","Kings XI","RCB","RCB","5 wickets","Mohali","Apr 20, 2012","T20"
"282","Super Kings","Royals","Super Kings","7 wickets","Chennai","Apr 21, 2012","T20"
"283","Daredevils","Warriors","Warriors","20 runs","Delhi","Apr 21, 2012","T20"
"284","Mum Indians","Kings XI","Kings XI","6 wickets","Mumbai","Apr 22, 2012","T20"
"285","Chargers","KKR","KKR","5 wickets","Cuttack","Apr 22, 2012","T20"
"286","Royals","RCB","RCB","46 runs","Jaipur","Apr 23, 2012","T20"
"287","Warriors","Daredevils","Daredevils","8 wickets","Pune","Apr 24, 2012","T20"
"288","KKR","Chargers","abandoned","","Kolkata","Apr 24, 2012","T20"
"289","Kings XI","Mum Indians","Mum Indians","4 wickets","Mohali","Apr 25, 2012","T20"
"290","RCB","Super Kings","no result","","Bangalore","Apr 25, 2012","T20"
"291","Warriors","Chargers","Chargers","18 runs","Pune","Apr 26, 2012","T20"
"292","Daredevils","Mum Indians","Daredevils","37 runs","Delhi","Apr 27, 2012","T20"
"293","Super Kings","Kings XI","Kings XI","7 runs","Chennai","Apr 28, 2012","T20"
"294","KKR","RCB","KKR","47 runs","Kolkata","Apr 28, 2012","T20"
"295","Daredevils","Royals","Daredevils","1 run","Delhi","Apr 29, 2012","T20"
"296","Mum Indians","Chargers","Mum Indians","5 wickets","Mumbai","Apr 29, 2012","T20"
"297","Super Kings","KKR","KKR","5 wickets","Chennai","Apr 30, 2012","T20"
"298","Chargers","Warriors","Chargers","13 runs","Cuttack","May 1, 2012","T20"
"299","Royals","Daredevils","Daredevils","6 wickets","Jaipur","May 1, 2012","T20"
"300","RCB","Kings XI","Kings XI","4 wickets","Bangalore","May 2, 2012","T20"
"301","Warriors","Mum Indians","Mum Indians","1 run","Pune","May 3, 2012","T20"
"302","Super Kings","Chargers","Super Kings","10 runs","Chennai","May 4, 2012","T20"
"303","KKR","Warriors","KKR","7 runs","Kolkata","May 5, 2012","T20"
"304","Kings XI","Royals","Royals","43 runs","Mohali","May 5, 2012","T20"
"305","Mum Indians","Super Kings","Mum Indians","2 wickets","Mumbai","May 6, 2012","T20"
"306","RCB","Chargers","RCB","5 wickets","Bangalore","May 6, 2012","T20"
"307","Daredevils","KKR","KKR","6 wickets","Delhi","May 7, 2012","T20"
"308","Warriors","Royals","Royals","7 wickets","Pune","May 8, 2012","T20"
"309","Chargers","Kings XI","Kings XI","25 runs","Hyderabad (Deccan)","May 8, 2012","T20"
"310","Mum Indians","RCB","RCB","9 wickets","Mumbai","May 9, 2012","T20"
"311","Chargers","Daredevils","Daredevils","9 wickets","Hyderabad (Deccan)","May 10, 2012","T20"
"312","Royals","Super Kings","Super Kings","4 wickets","Jaipur","May 10, 2012","T20"
"313","Warriors","RCB","RCB","35 runs","Pune","May 11, 2012","T20"
"314","KKR","Mum Indians","Mum Indians","27 runs","Kolkata","May 12, 2012","T20"
"315","Super Kings","Daredevils","Super Kings","9 wickets","Chennai","May 12, 2012","T20"
"316","Royals","Warriors","Royals","45 runs","Jaipur","May 13, 2012","T20"
"317","Kings XI","Chargers","Kings XI","4 wickets","Mohali","May 13, 2012","T20"
"318","RCB","Mum Indians","Mum Indians","5 wickets","Bangalore","May 14, 2012","T20"
"319","KKR","Super Kings","Super Kings","5 wickets","Kolkata","May 14, 2012","T20"
